/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
0,1.033276198893949e-06,0,1.033276611578027e-06,0,1.033277078971425e-06,0,1.033277608197592e-06,0,1.033278200999134e-06,0,1.03327887933836e-06,0,0,0,0.004,0,0.008,0,0.012,0,0.016,0,0.02
3.5e-11,1.033276242901318e-06,3.5e-11,1.033276631810848e-06,3.5e-11,1.033277087355095e-06,3.5e-11,1.033277611380296e-06,3.5e-11,1.033279203985675e-06,3.5e-11,1.03327945601712e-06,3.5e-11,0,3.5e-11,0.004,3.5e-11,0.008,3.5e-11,0.012,3.5e-11,0.016,3.5e-11,0.02
1.05e-10,1.033276184557563e-06,1.05e-10,1.033276604989714e-06,1.05e-10,1.033277076109029e-06,1.05e-10,1.033277607044131e-06,1.05e-10,1.033277887266391e-06,1.05e-10,1.03327870323648e-06,1.05e-10,0,1.05e-10,0.004,1.05e-10,0.008,1.05e-10,0.012,1.05e-10,0.016,1.05e-10,0.02
2.45e-10,1.033276199183553e-06,2.45e-10,1.033276611756631e-06,2.45e-10,1.033277078933568e-06,2.45e-10,1.033277608111783e-06,2.45e-10,1.033278215474293e-06,2.45e-10,1.033278890358816e-06,2.45e-10,0,2.45e-10,0.004,2.45e-10,0.008,2.45e-10,0.012,2.45e-10,0.016,2.45e-10,0.02
5.249999999999999e-10,1.033276194549003e-06,5.249999999999999e-10,1.033276609595607e-06,5.249999999999999e-10,1.033277078036064e-06,5.249999999999999e-10,1.033277607768994e-06,5.249999999999999e-10,1.033278112147888e-06,5.249999999999999e-10,1.033278831633586e-06,5.249999999999999e-10,0,5.249999999999999e-10,0.004,5.249999999999999e-10,0.008,5.249999999999999e-10,0.012,5.249999999999999e-10,0.016,5.249999999999999e-10,0.02
1e-09,1.033276200358711e-06,1e-09,1.033276612300632e-06,1e-09,1.033277079162979e-06,1e-09,1.033277608198239e-06,1e-09,1.033278242255329e-06,1e-09,1.033278905704487e-06,1e-09,0,1e-09,0.004,1e-09,0.008,1e-09,0.012,1e-09,0.016,1e-09,0.02
1.086792413983021e-09,1.036081009731759e-06,1.086792413983021e-09,1.036088064763573e-06,1.086792413983021e-09,1.036095743746497e-06,1.086792413983021e-09,1.036104136823181e-06,1.086792413983021e-09,1.036113346626527e-06,1.068085571158653e-09,1.037373727327962e-06,1.086792413983021e-09,0.03471696559320819,1.086792413983021e-09,0.0387169655932082,1.086792413983021e-09,0.04271696559320819,1.086792413983021e-09,0.04671696559320819,1.086792413983021e-09,0.05071696559320819,1.068085571158653e-09,0.0472342284634612
1.223548274301462e-09,1.027362098533632e-06,1.223548274301462e-09,1.027399207502611e-06,1.223548274301462e-09,1.027442261339092e-06,1.223548274301462e-09,1.027492049996529e-06,1.223548274301462e-09,1.027549433908066e-06,1.202297176435612e-09,1.026272989419306e-06,1.223548274301462e-09,0.08941930972058459,1.223548274301462e-09,0.0934193097205846,1.223548274301462e-09,0.0974193097205846,1.223548274301462e-09,0.1014193097205846,1.223548274301462e-09,0.1054193097205846,1.202297176435612e-09,0.1009188705742447
1.352060097442826e-09,1.036978607067629e-06,1.352060097442826e-09,1.03718159198675e-06,1.352060097442826e-09,1.037409790940626e-06,1.352060097442826e-09,1.037666092786281e-06,1.352060097442826e-09,1.037953587702476e-06,1.328064599688338e-09,1.038345498978146e-06,1.352060097442826e-09,0.1408240389771304,1.352060097442826e-09,0.1448240389771304,1.352060097442826e-09,0.1488240389771305,1.352060097442826e-09,0.1528240389771305,1.352060097442826e-09,0.1568240389771304,1.328064599688338e-09,0.1512258398753353
1.447772930128715e-09,1.035902885346395e-06,1.447873587609973e-09,1.036577866108085e-06,1.44787826091536e-09,1.037316238643156e-06,1.447794692698848e-09,1.038120254677596e-06,1.447632485163523e-09,1.038991483571815e-06,1.425069446236786e-09,1.037244982027846e-06,1.447772930128715e-09,0.1791091720514858,1.447873587609973e-09,0.1831494350439894,1.44787826091536e-09,0.1871513043661439,1.447794692698848e-09,0.1911178770795392,1.447632485163523e-09,0.195052994065409,1.425069446236786e-09,0.1900277784947144
