/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
0,1.033394228609571e-06,0,1.033394228609571e-06,0,1.033394228609571e-06,0,1.033394228609571e-06,0,1.033394228609571e-06,0,0.12,0,0.12,0,0.12,0,0.12,0,0.12
3.5e-11,1.033394250290918e-06,3.5e-11,1.033394250290918e-06,3.5e-11,1.033394250290918e-06,3.5e-11,1.033394250290918e-06,3.5e-11,1.033394250290918e-06,3.5e-11,0.12,3.5e-11,0.12,3.5e-11,0.12,3.5e-11,0.12,3.5e-11,0.12
1.05e-10,1.033394222500927e-06,1.05e-10,1.033394222500927e-06,1.05e-10,1.033394222500927e-06,1.05e-10,1.033394222500927e-06,1.05e-10,1.033394222500927e-06,1.05e-10,0.12,1.05e-10,0.12,1.05e-10,0.12,1.05e-10,0.12,1.05e-10,0.12
2.45e-10,1.033394226285805e-06,2.45e-10,1.033394226285805e-06,2.45e-10,1.033394226285805e-06,2.45e-10,1.033394226285805e-06,2.45e-10,1.033394226285805e-06,2.45e-10,0.12,2.45e-10,0.12,2.45e-10,0.12,2.45e-10,0.12,2.45e-10,0.12
5.249999999999999e-10,1.033394227465605e-06,5.249999999999999e-10,1.033394227465605e-06,5.249999999999999e-10,1.033394227465605e-06,5.249999999999999e-10,1.033394227465605e-06,5.249999999999999e-10,1.033394227465605e-06,5.249999999999999e-10,0.12,5.249999999999999e-10,0.12,5.249999999999999e-10,0.12,5.249999999999999e-10,0.12,5.249999999999999e-10,0.12
1.085e-09,1.033394228758822e-06,1.085e-09,1.033394228758822e-06,1.085e-09,1.033394228758822e-06,1.085e-09,1.033394228758822e-06,1.085e-09,1.033394228758822e-06,1.085e-09,0.12,1.085e-09,0.12,1.085e-09,0.12,1.085e-09,0.12,1.085e-09,0.12
1.785e-09,1.033394229111608e-06,1.785e-09,1.033394229111608e-06,1.785e-09,1.033394229111608e-06,1.785e-09,1.033394229111608e-06,1.785e-09,1.033394229111608e-06,1.785e-09,0.12,1.785e-09,0.12,1.785e-09,0.12,1.785e-09,0.12,1.785e-09,0.12
2.485e-09,1.03339422857431e-06,2.485e-09,1.03339422857431e-06,2.485e-09,1.03339422857431e-06,2.485e-09,1.03339422857431e-06,2.485e-09,1.03339422857431e-06,2.485e-09,0.12,2.485e-09,0.12,2.485e-09,0.12,2.485e-09,0.12,2.485e-09,0.12
3.185e-09,1.033394228985668e-06,3.185e-09,1.033394228985668e-06,3.185e-09,1.033394228985668e-06,3.185e-09,1.033394228985668e-06,3.185e-09,1.033394228985668e-06,3.185e-09,0.12,3.185e-09,0.12,3.185e-09,0.12,3.185e-09,0.12,3.185e-09,0.12
3.885e-09,1.033394228232656e-06,3.885e-09,1.033394228232656e-06,3.885e-09,1.033394228232656e-06,3.885e-09,1.033394228232656e-06,3.885e-09,1.033394228232656e-06,3.885e-09,0.12,3.885e-09,0.12,3.885e-09,0.12,3.885e-09,0.12,3.885e-09,0.12
4.4425e-09,1.033394228979215e-06,4.584999999999999e-09,1.033394228957568e-06,4.584999999999999e-09,1.033394228957568e-06,4.584999999999999e-09,1.033394228957568e-06,4.584999999999999e-09,1.033394228957568e-06,4.4425e-09,0.12,4.584999999999999e-09,0.12,4.584999999999999e-09,0.12,4.584999999999999e-09,0.12,4.584999999999999e-09,0.12
5e-09,1.03339422803329e-06,5.1e-09,1.033394228033513e-06,5.2e-09,1.033394228038338e-06,4.942499999999999e-09,1.03339422801865e-06,4.9925e-09,1.033394228025666e-06,5e-09,0.12,5.1e-09,0.12,5.2e-09,0.12,4.942499999999999e-09,0.12,4.9925e-09,0.12
5.03125e-09,1.069390911635071e-06,5.125e-09,1.08788117506127e-06,5.2375e-09,1.09489294134479e-06,5.3e-09,1.033394229074332e-06,5.4e-09,1.033394229057026e-06,5.03125e-09,0.1537499999999999,5.125e-09,0.1537500000000003,5.2375e-09,0.1874999999999991,5.3e-09,0.12,5.4e-09,0.12
5.08929940148147e-09,1.061487082208826e-06,5.171439521185177e-09,1.069820578502353e-06,5.292788608586686e-09,1.414775134814931e-06,5.325000000000001e-09,1.15942391322896e-06,5.4125e-09,1.424985877639001e-06,5.08929940148147e-09,0.2164433535999876,5.171439521185177e-09,0.2164433535999892,5.292788608586686e-09,0.2870194954560342,5.325000000000001e-09,0.1875000000000006,5.4125e-09,0.1875000000000006
5.112141600810495e-09,1.153988891538893e-06,5.191380205874088e-09,1.190852928275448e-06,5.306685297990663e-09,1.743536216014988e-06,5.361859072391125e-09,1.625473836289339e-06,5.430929536195563e-09,2.232057208392565e-06,5.112141600810495e-09,0.2411129288753344,5.191380205874088e-09,0.2433632779300184,5.306685297990663e-09,0.3120335363831931,5.361859072391125e-09,0.2870194954560364,5.430929536195563e-09,0.2870194954560387
5.157825999468544e-09,1.322309581685295e-06,5.219217204138845e-09,1.366961179341425e-06,5.334478676798617e-09,3.155201789513729e-06,5.371854980888371e-09,2.0311330362422e-06,5.439097919864152e-09,3.2886147395938e-06,5.157825999468544e-09,0.2904520794260279,5.219217204138845e-09,0.280943225587441,5.334478676798617e-09,0.3620616182375108,5.371854980888371e-09,0.3140084483986007,5.439097919864152e-09,0.3311287672664206
5.191409625982576e-09,1.773649364283867e-06,5.247572964399064e-09,1.677551120335259e-06,5.34284234888496e-09,4.608187668301595e-06,5.391846797882863e-09,3.700281608992574e-06,5.441973261309048e-09,3.889062765361285e-06,5.191409625982576e-09,0.3267223960611818,5.247572964399064e-09,0.3192235019387365,5.34284234888496e-09,0.3771162279929279,5.391846797882863e-09,0.3679863542837293,5.441973261309048e-09,0.3466556110688598
5.204687028906619e-09,2.397326940199218e-06,5.280249998222818e-09,2.91941244644945e-06,5.359569693057646e-09,4.159459828683212e-06,5.403905391087263e-09,7.423147079673349e-06,5.447723944198841e-09,5.344006093877171e-06,5.204687028906619e-09,0.3410619912191479,5.280249998222818e-09,0.3633374976008046,5.359569693057646e-09,0.4072254475037621,5.403905391087263e-09,0.4005445559356101,5.447723944198841e-09,0.3777092986737383
5.231241834754704e-09,1.9803842081375e-06,5.303192134908675e-09,2.71500228512471e-06,5.374521036489717e-09,1.32715165977055e-06,5.416444618775065e-09,9.598834307866308e-06,5.456739029417017e-09,1.004860830328131e-05,5.231241834754704e-09,0.3697411815350802,5.303192134908675e-09,0.394309382126711,5.374521036489717e-09,0.434137865681491,5.416444618775065e-09,0.4344004706926744,5.456739029417017e-09,0.426390758851888
5.253175760781812e-09,8.418422580523106e-07,5.324850703874508e-09,1.625154534665163e-07,5.397748528137625e-09,6.267036558499699e-07,5.42792852243097e-09,4.149883283220664e-06,5.46406051132227e-09,2.316656971969085e-05,5.253175760781812e-09,0.3934298216443566,5.324850703874508e-09,0.423548450230586,5.397748528137625e-09,0.4759473506477237,5.42792852243097e-09,0.4654070105636192,5.46406051132227e-09,0.4659267611402558
5.291724738332187e-09,6.104611190923345e-07,5.348452944756618e-09,7.934415801226536e-07,5.417162931747341e-09,4.511725215485151e-07,5.445612395055741e-09,1.61691722602445e-06,5.470732173404384e-09,3.236569314366142e-05,5.291724738332187e-09,0.4350627173987616,5.348452944756618e-09,0.4554114754214337,5.417162931747341e-09,0.5108932771452138,5.445612395055741e-09,0.513153466650501,5.470732173404384e-09,0.501953736383669
5.320472706468522e-09,4.962686306546773e-07,5.371969971909799e-09,2.040043374179886e-07,5.439759165233751e-09,1.540883701910874e-06,5.460492824511066e-09,1.431143463461064e-06,5.477806922261281e-09,2.533253263334283e-05,5.320472706468522e-09,0.4661105229860034,5.371969971909799e-09,0.4871594620782281,5.439759165233751e-09,0.5515664974207508,5.460492824511066e-09,0.5533306261798774,5.477806922261281e-09,0.540157380210918
5.355074311839967e-09,6.669728227724058e-07,5.399767722194913e-09,1.059686344816709e-06,5.469019809995784e-09,3.961968979936809e-06,5.476224285711138e-09,7.106134527807992e-06,5.488185733232403e-09,2.140898505028456e-05,5.355074311839967e-09,0.5034802567871639,5.399767722194913e-09,0.5246864249631329,5.469019809995784e-09,0.6042356579924113,5.476224285711138e-09,0.5958055714200723,5.488185733232403e-09,0.5962029594549724
5.401402223408992e-09,5.726422526726312e-07,5.444942517377371e-09,1.03345494109554e-06,5.502140169480535e-09,2.516508910293852e-05,5.495997044043161e-09,2.393905558778955e-05,5.497141102929151e-09,3.863227053378776e-05,5.401402223408992e-09,0.5535144012817113,5.444942517377371e-09,0.5856723984594512,5.502140169480535e-09,0.6638523050649634,5.495997044043161e-09,0.6491920189165347,5.497141102929151e-09,0.6445619558174113
5.470263056128458e-09,2.436869222348252e-06,5.479232378746029e-09,6.633705158896606e-06,5.526746964827778e-09,7.802323134606284e-05,5.514327526259801e-09,0.000101582909887521,5.506555602121308e-09,0.0001238422851840649,5.470263056128458e-09,0.6278841006187342,5.479232378746029e-09,0.6319637113071385,5.526746964827778e-09,0.7081445366900005,5.514327526259801e-09,0.6986843209014629,5.506555602121308e-09,0.6954002514550605
5.519237954106402e-09,1.83790435651461e-05,5.516268342179499e-09,2.968482910381738e-05,5.551169762813252e-09,-7.461195526769118e-05,5.530274764652311e-09,0.0001430034211965146,5.515922500070026e-09,0.0003083150767612055,5.519237954106402e-09,0.680776990434914,5.516268342179499e-09,0.6819622619423239,5.551169762813252e-09,0.7521055730638527,5.530274764652311e-09,0.7417418645612376,5.515922500070026e-09,0.7459815003781399
5.558013032986143e-09,-0.0001031912718573693,5.545564693146363e-09,-2.324220660769526e-05,5.565307177296002e-09,-0.0001130226522639552,5.543731340990934e-09,-2.356503927328529e-05,5.527135046182827e-09,0.0002725241989087218,5.558013032986143e-09,0.7226540756250344,5.545564693146363e-09,0.7215123357475904,5.565307177296002e-09,0.7775529191328023,5.543731340990934e-09,0.7780746206755206,5.527135046182827e-09,0.8065292493872663
5.594241703409514e-09,-0.0001718410509166956,5.578054153373956e-09,-0.0001724882890949516,5.580386926711829e-09,-0.0001650199384616774,5.552409738455645e-09,-7.404789916554496e-05,5.533476849590381e-09,9.584475676970852e-05,5.594241703409514e-09,0.7617810396822751,5.578054153373956e-09,0.7653731070548402,5.580386926711829e-09,0.8046964680812911,5.552409738455645e-09,0.8015062938302419,5.533476849590381e-09,0.8407749877880533
5.601369399552474e-09,-0.0001697226667999171,5.584990923304464e-09,-0.0001553854330174397,5.592063532232368e-09,-0.0002091173941908927,5.56146426966234e-09,-0.0001360003302231239,5.540127212996486e-09,-4.902389977089106e-05,5.601369399552474e-09,0.7694789515166719,5.584990923304464e-09,0.7747377464610266,5.592063532232368e-09,0.8257143580182623,5.56146426966234e-09,0.8259535280883183,5.540127212996486e-09,0.8766869501810218
