/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=0.004) X,/hit (dt=0.004) Y,/hit (dt=0.008) X,/hit (dt=0.008) Y,/hit (dt=0.012) X,/hit (dt=0.012) Y,/hit (dt=0.016) X,/hit (dt=0.016) Y,/hit (dt=0.02) X,/hit (dt=0.02) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=0.004) X,/net8 (dt=0.004) Y,/net8 (dt=0.008) X,/net8 (dt=0.008) Y,/net8 (dt=0.012) X,/net8 (dt=0.012) Y,/net8 (dt=0.016) X,/net8 (dt=0.016) Y,/net8 (dt=0.02) X,/net8 (dt=0.02) Y
0,1.033276198893949e-06,0,1.033276611578027e-06,0,1.033277078971425e-06,0,1.033277608197592e-06,0,1.033278200999134e-06,0,1.03327887933836e-06,0,0,0,0.004,0,0.008,0,0.012,0,0.016,0,0.02
3.5e-11,1.033276242901318e-06,3.5e-11,1.033276631810848e-06,3.5e-11,1.033277087355095e-06,3.5e-11,1.033277611380296e-06,3.5e-11,1.033279203985675e-06,3.5e-11,1.03327945601712e-06,3.5e-11,0,3.5e-11,0.004,3.5e-11,0.008,3.5e-11,0.012,3.5e-11,0.016,3.5e-11,0.02
1.05e-10,1.033276184557563e-06,1.05e-10,1.033276604989714e-06,1.05e-10,1.033277076109029e-06,1.05e-10,1.033277607044131e-06,1.05e-10,1.033277887266391e-06,1.05e-10,1.03327870323648e-06,1.05e-10,0,1.05e-10,0.004,1.05e-10,0.008,1.05e-10,0.012,1.05e-10,0.016,1.05e-10,0.02
2.45e-10,1.033276199183553e-06,2.45e-10,1.033276611756631e-06,2.45e-10,1.033277078933568e-06,2.45e-10,1.033277608111783e-06,2.45e-10,1.033278215474293e-06,2.45e-10,1.033278890358816e-06,2.45e-10,0,2.45e-10,0.004,2.45e-10,0.008,2.45e-10,0.012,2.45e-10,0.016,2.45e-10,0.02
5.249999999999999e-10,1.033276194549003e-06,5.249999999999999e-10,1.033276609595607e-06,5.249999999999999e-10,1.033277078036064e-06,5.249999999999999e-10,1.033277607768994e-06,5.249999999999999e-10,1.033278112147888e-06,5.249999999999999e-10,1.033278831633586e-06,5.249999999999999e-10,0,5.249999999999999e-10,0.004,5.249999999999999e-10,0.008,5.249999999999999e-10,0.012,5.249999999999999e-10,0.016,5.249999999999999e-10,0.02
1e-09,1.033276200358711e-06,1e-09,1.033276612300632e-06,1e-09,1.033277079162979e-06,1e-09,1.033277608198239e-06,1e-09,1.033278242255329e-06,1e-09,1.033278905704487e-06,1e-09,0,1e-09,0.004,1e-09,0.008,1e-09,0.012,1e-09,0.016,1e-09,0.02
1.055591636061552e-09,1.0412940911546e-06,1.055591636061552e-09,1.041308666022165e-06,1.055591636061552e-09,1.041324242141923e-06,1.055591636061552e-09,1.041340968290373e-06,1.055591636061552e-09,1.041359015247214e-06,1.055591636061552e-09,1.04137857276566e-06,1.055591636061552e-09,0.03335498163693098,1.055591636061552e-09,0.03735498163693098,1.055591636061552e-09,0.04135498163693098,1.055591636061552e-09,0.04535498163693098,1.055591636061552e-09,0.04935498163693098,1.055591636061552e-09,0.05335498163693098
1.159263650472177e-09,1.021432190731778e-06,1.159263650472177e-09,1.021504277104379e-06,1.159263650472177e-09,1.021588078743489e-06,1.159263650472177e-09,1.021685155519276e-06,1.159263650472177e-09,1.021797182384251e-06,1.159263650472177e-09,1.021926357754028e-06,1.159263650472177e-09,0.09555819028330599,1.159263650472177e-09,0.09955819028330599,1.159263650472177e-09,0.103558190283306,1.159263650472177e-09,0.107558190283306,1.159263650472177e-09,0.111558190283306,1.159263650472177e-09,0.115558190283306
1.265922928848498e-09,1.041848757549047e-06,1.265922928848498e-09,1.042433427674509e-06,1.265922928848498e-09,1.043089134436188e-06,1.265922928848498e-09,1.043823440702187e-06,1.265922928848498e-09,1.044644229576438e-06,1.265922928848498e-09,1.045560467411182e-06,1.265922928848498e-09,0.1595537573090988,1.265922928848498e-09,0.1635537573090988,1.265922928848498e-09,0.1675537573090988,1.265922928848498e-09,0.1715537573090988,1.265922928848498e-09,0.1755537573090988,1.265922928848498e-09,0.1795537573090988
1.332074141867731e-09,1.047042318626262e-06,1.332249969396052e-09,1.04911694875119e-06,1.332368807555934e-09,1.051357546339131e-06,1.332435006963263e-09,1.053763822767589e-06,1.332454125994531e-09,1.056332727505934e-06,1.332430802804084e-09,1.059061081673058e-06,1.332074141867731e-09,0.1992444851206386,1.332249969396052e-09,0.2033499816376309,1.332368807555934e-09,0.2074212845335605,1.332435006963263e-09,0.2114610041779579,1.332454125994531e-09,0.2154724755967186,1.332430802804084e-09,0.2194584816824505
