/hit (dt=0) X,/hit (dt=0) Y,/hit (dt=1e-10) X,/hit (dt=1e-10) Y,/hit (dt=2e-10) X,/hit (dt=2e-10) Y,/hit (dt=3e-10) X,/hit (dt=3e-10) Y,/hit (dt=4e-10) X,/hit (dt=4e-10) Y,/net8 (dt=0) X,/net8 (dt=0) Y,/net8 (dt=1e-10) X,/net8 (dt=1e-10) Y,/net8 (dt=2e-10) X,/net8 (dt=2e-10) Y,/net8 (dt=3e-10) X,/net8 (dt=3e-10) Y,/net8 (dt=4e-10) X,/net8 (dt=4e-10) Y
0,1.033276082568381e-06,0,1.033276082568381e-06,0,1.033276082568381e-06,0,1.033276082568381e-06,0,1.033276082568381e-06,0,0,0,0,0,0,0,0,0,0
3.5e-11,1.033276252797483e-06,3.5e-11,1.033276252797483e-06,3.5e-11,1.033276252797483e-06,3.5e-11,1.033276252797483e-06,3.5e-11,1.033276252797483e-06,3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0
1.05e-10,1.03327603844314e-06,1.05e-10,1.03327603844314e-06,1.05e-10,1.03327603844314e-06,1.05e-10,1.03327603844314e-06,1.05e-10,1.03327603844314e-06,1.05e-10,0,1.05e-10,0,1.05e-10,0,1.05e-10,0,1.05e-10,0
2.45e-10,1.033276065609253e-06,2.45e-10,1.033276065609253e-06,2.45e-10,1.033276065609253e-06,2.45e-10,1.033276065609253e-06,2.45e-10,1.033276065609253e-06,2.45e-10,0,2.45e-10,0,2.45e-10,0,2.45e-10,0,2.45e-10,0
5.249999999999999e-10,1.03327607259968e-06,5.249999999999999e-10,1.03327607259968e-06,5.249999999999999e-10,1.03327607259968e-06,5.249999999999999e-10,1.03327607259968e-06,5.249999999999999e-10,1.03327607259968e-06,5.249999999999999e-10,0,5.249999999999999e-10,0,5.249999999999999e-10,0,5.249999999999999e-10,0,5.249999999999999e-10,0
1.085e-09,1.033276081696404e-06,1.085e-09,1.033276081696404e-06,1.085e-09,1.033276081696404e-06,1.085e-09,1.033276081696404e-06,1.085e-09,1.033276081696404e-06,1.085e-09,0,1.085e-09,0,1.085e-09,0,1.085e-09,0,1.085e-09,0
1.785e-09,1.033276085691889e-06,1.785e-09,1.033276085691889e-06,1.785e-09,1.033276085691889e-06,1.785e-09,1.033276085691889e-06,1.785e-09,1.033276085691889e-06,1.785e-09,0,1.785e-09,0,1.785e-09,0,1.785e-09,0,1.785e-09,0
2.485e-09,1.033276082919e-06,2.485e-09,1.033276082919e-06,2.485e-09,1.033276082919e-06,2.485e-09,1.033276082919e-06,2.485e-09,1.033276082919e-06,2.485e-09,0,2.485e-09,0,2.485e-09,0,2.485e-09,0,2.485e-09,0
3.185e-09,1.033276087080004e-06,3.185e-09,1.033276087080004e-06,3.185e-09,1.033276087080004e-06,3.185e-09,1.033276087080004e-06,3.185e-09,1.033276087080004e-06,3.185e-09,0,3.185e-09,0,3.185e-09,0,3.185e-09,0,3.185e-09,0
3.885e-09,1.03327608192831e-06,3.885e-09,1.03327608192831e-06,3.885e-09,1.03327608192831e-06,3.885e-09,1.03327608192831e-06,3.885e-09,1.03327608192831e-06,3.885e-09,0,3.885e-09,0,3.885e-09,0,3.885e-09,0,3.885e-09,0
4.4425e-09,1.033276088008351e-06,4.584999999999999e-09,1.033276087908901e-06,4.584999999999999e-09,1.033276087908901e-06,4.584999999999999e-09,1.033276087908901e-06,4.584999999999999e-09,1.033276087908901e-06,4.4425e-09,0,4.584999999999999e-09,0,4.584999999999999e-09,0,4.584999999999999e-09,0,4.584999999999999e-09,0
5e-09,1.033276080975526e-06,5.1e-09,1.033276081022236e-06,5.2e-09,1.033276081091143e-06,4.942499999999999e-09,1.033276080839233e-06,4.9925e-09,1.033276080912226e-06,5e-09,0,5.1e-09,0,5.2e-09,0,4.942499999999999e-09,0,4.9925e-09,0
5.041924718991306e-09,1.056606029235886e-06,5.135596015226427e-09,1.068463637229723e-06,5.2375e-09,1.077852481556549e-06,5.3e-09,1.03327608906683e-06,5.4e-09,1.033276088945887e-06,5.041924718991306e-09,0.05030966278956758,5.135596015226427e-09,0.0533940228396404,5.2375e-09,0.07499999999999903,5.3e-09,0,5.4e-09,0
5.110099749645832e-09,1.008151035028241e-06,5.192343003851746e-09,1.001466750970106e-06,5.290880564680061e-09,1.015950584053586e-06,5.325000000000001e-09,1.135142574176938e-06,5.415350742245898e-09,1.34344612587647e-06,5.110099749645832e-09,0.1321196995749984,5.192343003851746e-09,0.1385145057776191,5.290880564680061e-09,0.1817611293601219,5.325000000000001e-09,0.07500000000000065,5.415350742245898e-09,0.09210445347538722
5.169629888431554e-09,1.083311812667013e-06,5.236358208170559e-09,1.097202681201168e-06,5.311109863962523e-09,1.181682500690221e-06,5.360587043120042e-09,1.009387068010923e-06,5.435755971880595e-09,1.189864204064844e-06,5.169629888431554e-09,0.2035558661178652,5.236358208170559e-09,0.2045373122558382,5.311109863962523e-09,0.2222197279250459,5.360587043120042e-09,0.1817611293601243,5.435755971880595e-09,0.2145358312835702
