imag(IF("/E2/PLUS"))/(2*pi*xval(IF("/E2/PLUS"))) X,imag(IF("/E2/PLUS"))/(2*pi*xval(IF("/E2/PLUS"))) Y
100000,-1.925109820488874e-12
127649.9355637262,-1.75216052365899e-12
162945.0604942346,-1.635487267232695e-12
207999.2647251651,-1.559316498766857e-12
265510.9273946976,-1.510587174819624e-12
338924.5277339833,-1.479767683957733e-12
432636.9412620931,-1.46039300206716e-12
552260.7767459379,-1.448261135811944e-12
704960.5256599236,-1.440681594765665e-12
899881.656754598,-1.435890326664765e-12
1148698.354997036,-1.432627557890088e-12
1466312.7099753,-1.429837842640393e-12
1871747.229446198,-1.426458304550819e-12
2389284.132303902,-1.421259043381229e-12
3049919.655320266,-1.412668444738889e-12
3893220.47476174,-1.398509748060921e-12
4969693.427387157,-1.375631189912765e-12
6343810.457774444,-1.339505921368284e-12
8097869.961634002,-1.284022728091324e-12
10336925.78806014,-1.201940373424305e-12
13195079.10772897,-1.086739509104841e-12
16843509.97859873,-9.363294819343282e-13
21500729.63435108,-7.573906289819449e-13
27445667.52398014,-5.666156759115594e-13
35034376.90939517,-3.855976447702664e-13
44721359.54999591,-2.319133286227279e-13
57086786.6487921,-1.133733315339367e-13
72871246.37258498,-2.86996808528383e-14
93020099.0390889,2.822680935483561e-14
118740096.4847113,6.445703736732803e-14
151571656.6510403,8.587753576006123e-14
193481122.0479253,9.656290368652777e-14
246978527.6221511,9.883699411974776e-14
315267931.3659156,9.358063752628197e-14
402439311.2416838,8.067035028404446e-14
513713521.483113,5.971709905730644e-14
655754979.1553426,3.149708486968222e-14
837070808.3477211,3.936509224776045e-16
1068520347.478628,-2.323218660257763e-14
1363965535.041772,-2.587428891523804e-14
1741101126.592256,-5.775538988824671e-15
2222514466.194326,8.689270801733988e-15
2837038283.99155,-8.695209961407712e-15
3621477541.433458,-3.477914501900543e-15
4622813748.094625,-5.130074310303751e-15
5901018770.673866,2.654244549916976e-16
7532646658.368579,-2.138169581600913e-15
9615418605.650667,-1.515488394083653e-15
12274075654.29562,-3.47607592280235e-15
15667849663.75136,-1.803461703755514e-15
20000000000,-2.679611591294058e-15
