/time (G=3) X,/time (G=3) Y,/time (G=5) X,/time (G=5) Y,/time (G=7) X,/time (G=7) Y,/time (G=9) X,/time (G=9) Y,/net6 (G=3) X,/net6 (G=3) Y,/net6 (G=5) X,/net6 (G=5) Y,/net6 (G=7) X,/net6 (G=7) Y,/net6 (G=9) X,/net6 (G=9) Y
0,0.317806328205165,0,0.317806328205165,0,0.317806328205165,0,0.317806328205165,0,0.0005050244913196384,0,0.0005050244913196384,0,0.0005050244913196384,0,0.0005050244913196384
1e-11,0.3178063303945061,1e-11,0.3178063308051159,1e-11,0.3178063312157257,1e-11,0.3178063316263354,1e-11,0.0005091387998629649,1e-11,0.0005118816720039345,1e-11,0.0005146245441449041,1e-11,0.0005173674162858737
3e-11,0.3178062876505666,3e-11,0.317806258799442,3e-11,0.3178062299408819,3e-11,0.3178062010748844,3e-11,0.0005177717156291114,3e-11,0.0005262698560848074,3e-11,0.0005347679893430285,3e-11,0.0005432661154035347
6.999999999999999e-11,0.3178058692210949,6.999999999999999e-11,0.3178055607895891,6.999999999999999e-11,0.3178052522862294,6.999999999999999e-11,0.3178049437118349,6.999999999999999e-11,0.0005351067861382742,6.999999999999999e-11,0.0005551616268671492,6.999999999999999e-11,0.0005752164496837215,6.999999999999999e-11,0.0005952712544840609
1.5e-10,0.3177998359065709,1.5e-10,0.3177954978573689,1.5e-10,0.3177911591124664,1.5e-10,0.31778681111026,1.5e-10,0.0005698237401957813,1.5e-10,0.0006130232412224779,1.5e-10,0.0006562227198161771,1.5e-10,0.0006994216354789882
3.1e-10,0.3177437387862868,3.1e-10,0.3177018827361887,3.1e-10,0.3176599426089876,3.1e-10,0.3176178362463442,3.1e-10,0.0006392747031727585,3.1e-10,0.0007287746972799856,3.1e-10,0.0008182745836171402,3.1e-10,0.0009077749430633303
5e-10,0.3175665140995085,5e-10,0.3174020529974432,5e-10,0.3172324660554487,5e-10,0.3170593862065795,5e-10,0.0007217706648817474,5e-10,0.0008662682243335979,5e-10,0.001010765085035585,5e-10,0.001155261994506461
7.000000000000001e-10,0.3172037415575507,7.000000000000001e-10,0.3167760950491041,7.000000000000001e-10,0.3163266497911909,7.000000000000001e-10,0.3158542374775556,7.000000000000001e-10,0.0007340172272783556,7.000000000000001e-10,0.0008866568454272461,7.000000000000001e-10,0.001039279528901356,7.000000000000001e-10,0.001191884268476452
9.000000000000001e-10,0.3168004773412239,9.000000000000001e-10,0.3160571968563863,9.000000000000001e-10,0.3152502758640296,9.000000000000001e-10,0.314373084896943,9.000000000000001e-10,0.0007086201121791914,9.000000000000001e-10,0.0008442963529774807,9.000000000000001e-10,0.0009792493257968595,9.000000000000001e-10,0.001114233910989414
1.1e-09,0.3163753815901815,1.1e-09,0.3152757881640552,1.1e-09,0.3140472252188849,1.1e-09,0.3126709447603387,1.1e-09,0.0006822021210938054,1.1e-09,0.0007993578537495398,1.1e-09,0.000915325373009901,1.1e-09,0.00103083305107734
1.3e-09,0.3159960779834716,1.3e-09,0.3145632371463863,1.3e-09,0.3129208904147835,1.3e-09,0.3110324516268149,1.3e-09,0.0006583287379943318,1.3e-09,0.0007576629530566713,1.3e-09,0.0008562219208030418,1.3e-09,0.0009534687539764549
1.5e-09,0.3156961715158118,1.5e-09,0.3139857361334561,1.5e-09,0.3119873796398319,1.5e-09,0.3096447307518411,1.5e-09,0.0006358980494855294,1.5e-09,0.000719162708861998,1.5e-09,0.000801097421387175,1.5e-09,0.0008808410822981096
1.7e-09,0.3154829672020362,1.7e-09,0.3135742874647233,1.7e-09,0.3113165081050376,1.7e-09,0.3086396733647628,1.7e-09,0.0006163568059395328,1.7e-09,0.0006862869698336029,1.7e-09,0.0007534838360682797,1.7e-09,0.0008173048977541939
1.9e-09,0.3153556070344706,1.9e-09,0.3133294816373391,1.9e-09,0.3109174005069274,1.9e-09,0.3080437194253714,1.9e-09,0.0005996246932997233,1.9e-09,0.0006574086619941912,1.9e-09,0.0007109407328205469,1.9e-09,0.0007600563788948626
2e-09,0.3153196351061167,2e-09,0.3132636392309655,2e-09,0.3108154843490331,2e-09,0.3078998158667043,2e-09,0.0005925207417015143,2e-09,0.0006447756871204373,2e-09,0.000692003332268157,2e-09,0.0007343660268356721
