/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y
0,0.03858787840597144,0,0.03858787840597144,0,0.03858787840597144,0,0.03858787840597144,0,0.01086144400803712,0,0.01086144400803712,0,0.01086144400803712,0,0.01086144400803712,0,0.7350398038786814,0,0.7350398038786814,0,0.7350398038786814,0,0.7350398038786814,0,0,0,0,0,0,0,0
5.000000000000001e-12,0.03858787840659202,5.000000000000001e-12,0.03858787840659202,5.000000000000001e-12,0.03858787840659202,5.000000000000001e-12,0.03858787840659202,5.000000000000001e-12,0.01086144400819063,5.000000000000001e-12,0.01086144400819063,5.000000000000001e-12,0.01086144400819063,5.000000000000001e-12,0.01086144400819063,5.000000000000001e-12,0.7350398038785175,5.000000000000001e-12,0.7350398038785175,5.000000000000001e-12,0.7350398038785175,5.000000000000001e-12,0.7350398038785175,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0
1.5e-11,0.03858787840651907,1.5e-11,0.03858787840651907,1.5e-11,0.03858787840651907,1.5e-11,0.03858787840651907,1.5e-11,0.01086144400818358,1.5e-11,0.01086144400818358,1.5e-11,0.01086144400818358,1.5e-11,0.01086144400818358,1.5e-11,0.7350398038784025,1.5e-11,0.7350398038784025,1.5e-11,0.7350398038784025,1.5e-11,0.7350398038784025,1.5e-11,0,1.5e-11,0,1.5e-11,0,1.5e-11,0
3.5e-11,0.0385878784058269,3.5e-11,0.0385878784058269,3.5e-11,0.0385878784058269,3.5e-11,0.0385878784058269,3.5e-11,0.01086144400800819,3.5e-11,0.01086144400800819,3.5e-11,0.01086144400800819,3.5e-11,0.01086144400800819,3.5e-11,0.7350398038783373,3.5e-11,0.7350398038783373,3.5e-11,0.7350398038783373,3.5e-11,0.7350398038783373,3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0
7.499999999999999e-11,0.03858787840377578,7.499999999999999e-11,0.03858787840377578,7.499999999999999e-11,0.03858787840377578,7.499999999999999e-11,0.03858787840377578,7.499999999999999e-11,0.0108614440074512,7.499999999999999e-11,0.0108614440074512,7.499999999999999e-11,0.0108614440074512,7.499999999999999e-11,0.0108614440074512,7.499999999999999e-11,0.73503980387773,7.499999999999999e-11,0.73503980387773,7.499999999999999e-11,0.73503980387773,7.499999999999999e-11,0.73503980387773,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0
1.55e-10,0.03858787839775441,1.55e-10,0.03858787839775441,1.55e-10,0.03858787839775441,1.55e-10,0.03858787839775441,1.55e-10,0.01086144400583373,1.55e-10,0.01086144400583373,1.55e-10,0.01086144400583373,1.55e-10,0.01086144400583373,1.55e-10,0.7350398038773986,1.55e-10,0.7350398038773986,1.55e-10,0.7350398038773986,1.55e-10,0.7350398038773986,1.55e-10,0,1.55e-10,0,1.55e-10,0,1.55e-10,0
2.55e-10,0.03858787838807286,2.55e-10,0.03858787838807286,2.55e-10,0.03858787838807286,2.55e-10,0.03858787838807286,2.55e-10,0.01086144400321548,2.55e-10,0.01086144400321548,2.55e-10,0.01086144400321548,2.55e-10,0.01086144400321548,2.55e-10,0.735039803876846,2.55e-10,0.735039803876846,2.55e-10,0.735039803876846,2.55e-10,0.735039803876846,2.55e-10,0,2.55e-10,0,2.55e-10,0,2.55e-10,0
3.55e-10,0.03858787838266353,3.55e-10,0.03858787838266353,3.55e-10,0.03858787838266353,3.55e-10,0.03858787838266353,3.55e-10,0.01086144400174136,3.55e-10,0.01086144400174136,3.55e-10,0.01086144400174136,3.55e-10,0.01086144400174136,3.55e-10,0.7350398038797403,3.55e-10,0.7350398038797403,3.55e-10,0.7350398038797403,3.55e-10,0.7350398038797403,3.55e-10,0,3.55e-10,0,3.55e-10,0,3.55e-10,0
4.275e-10,0.03858787838442268,4.275e-10,0.03858787838442268,4.275e-10,0.03858787838442268,4.275e-10,0.03858787838442268,4.275e-10,0.01086144400220268,4.275e-10,0.01086144400220268,4.275e-10,0.01086144400220268,4.275e-10,0.01086144400220268,4.275e-10,0.7350398038813727,4.275e-10,0.7350398038813727,4.275e-10,0.7350398038813727,4.275e-10,0.7350398038813727,4.275e-10,0,4.275e-10,0,4.275e-10,0,4.275e-10,0
5e-10,0.03858787839144802,5e-10,0.03858787839144802,5e-10,0.03858787839144802,5e-10,0.03858787839144802,5e-10,0.01086144400409075,5e-10,0.01086144400409075,5e-10,0.01086144400409075,5e-10,0.01086144400409075,5e-10,0.7350398038816797,5e-10,0.7350398038816797,5e-10,0.7350398038816797,5e-10,0.7350398038816797,5e-10,0,5e-10,0,5e-10,0,5e-10,0
6e-10,0.03858787839193127,6e-10,0.03858787839193127,6e-10,0.03858787839193127,6e-10,0.03858787839193127,6e-10,0.01086144400603093,6e-10,0.01086144400603093,6e-10,0.01086144400603093,6e-10,0.01086144400603093,6e-10,0.7350398038784886,6e-10,0.7350398038784886,6e-10,0.7350398038784886,6e-10,0.7350398038784886,6e-10,0,6e-10,0,6e-10,0,6e-10,0
7e-10,0.03858787838717671,7e-10,0.03858787838717671,7e-10,0.03858787838717671,7e-10,0.03858787838717671,7e-10,0.0108614440095242,7e-10,0.0108614440095242,7e-10,0.0108614440095242,7e-10,0.0108614440095242,7e-10,0.7350398038752928,7e-10,0.7350398038752928,7e-10,0.7350398038752928,7e-10,0.7350398038752928,7e-10,0,7e-10,0,7e-10,0,7e-10,0
7.999999999999999e-10,0.03858787837871192,7.999999999999999e-10,0.03858787837871192,7.999999999999999e-10,0.03858787837871192,7.999999999999999e-10,0.03858787837871192,7.999999999999999e-10,0.01086144401231545,7.999999999999999e-10,0.01086144401231545,7.999999999999999e-10,0.01086144401231545,7.999999999999999e-10,0.01086144401231545,7.999999999999999e-10,0.7350398038762395,7.999999999999999e-10,0.7350398038762395,7.999999999999999e-10,0.7350398038762395,7.999999999999999e-10,0.7350398038762395,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0,7.999999999999999e-10,0
8.999999999999999e-10,0.03858787836988563,8.999999999999999e-10,0.03858787836988563,8.999999999999999e-10,0.03858787836988563,8.999999999999999e-10,0.03858787836988563,8.999999999999999e-10,0.0108614440122302,8.999999999999999e-10,0.0108614440122302,8.999999999999999e-10,0.0108614440122302,8.999999999999999e-10,0.0108614440122302,8.999999999999999e-10,0.7350398038780818,8.999999999999999e-10,0.7350398038780818,8.999999999999999e-10,0.7350398038780818,8.999999999999999e-10,0.7350398038780818,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0,8.999999999999999e-10,0
9.999999999999999e-10,0.03858787836836568,9.999999999999999e-10,0.03858787836836568,9.999999999999999e-10,0.03858787836836568,9.999999999999999e-10,0.03858787836836568,9.999999999999999e-10,0.01086144400851776,9.999999999999999e-10,0.01086144400851776,9.999999999999999e-10,0.01086144400851776,9.999999999999999e-10,0.01086144400851776,9.999999999999999e-10,0.7350398038805362,9.999999999999999e-10,0.7350398038805362,9.999999999999999e-10,0.7350398038805362,9.999999999999999e-10,0.7350398038805362,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0,9.999999999999999e-10,0
1.043455804055859e-09,0.03913959147519435,1.025e-09,0.03883140762470105,1.025e-09,0.03895317225168141,1.025e-09,0.03907493687866155,1.043455804055859e-09,0.01100853683447905,1.025e-09,0.01092578425185421,1.025e-09,0.01095795437340267,1.025e-09,0.01099012449495106,1.043455804055859e-09,0.7354571164743615,1.025e-09,0.7353529680935695,1.025e-09,0.7355095502000157,1.025e-09,0.7356661323064617,1.043455804055859e-09,-2.483188803191963e-06,1.025e-09,-2.857142857142836e-06,1.025e-09,-4.285714285714253e-06,1.025e-09,-5.714285714285672e-06
1.125471318014582e-09,0.04183056910694754,1.075e-09,0.04017087215710981,1.075e-09,0.04097341537149163,1.075e-09,0.0417838306794638,1.125471318014582e-09,0.0117291748440288,1.075e-09,0.01128232070371135,1.075e-09,0.01149567445595794,1.075e-09,0.01171110593189906,1.125471318014582e-09,0.7367468256906624,1.075e-09,0.7365180405633858,1.075e-09,0.7372561182401348,1.075e-09,0.7379934337695344,1.125471318014582e-09,-7.16978960083323e-06,1.075e-09,-8.571428571428554e-06,1.075e-09,-1.285714285714283e-05,1.075e-09,-1.714285714285711e-05
1.225471318014582e-09,0.05085002403937451,1.150194820945364e-09,0.04744213032593007,1.120289312308213e-09,0.04605900332378786,1.115221296231591e-09,0.0475834190488602,1.225471318014582e-09,0.01415409318147418,1.150194820945364e-09,0.01322987395279676,1.120289312308213e-09,0.01285494278171672,1.115221296231591e-09,0.01326035787999523,1.225471318014582e-09,0.7387771859690584,1.150194820945364e-09,0.7396031292883675,1.120289312308213e-09,0.7399564184508093,1.115221296231591e-09,0.7411511861366102,1.225471318014582e-09,-1.288407531511895e-05,1.150194820945364e-09,-1.716512239375585e-05,1.120289312308213e-09,-2.062102496712223e-05,1.115221296231591e-09,-2.633629628150659e-05
1.287735659007291e-09,0.06002741820480154,1.203516285889625e-09,0.05848688338199257,1.165185500711169e-09,0.05620749111924801,1.155535384890135e-09,0.05892783130071268,1.287735659007291e-09,0.01662732263295457,1.203516285889625e-09,0.01619526890168634,1.165185500711169e-09,0.01557484636762633,1.155535384890135e-09,0.01629868890314325,1.287735659007291e-09,0.7395889414335078,1.203516285889625e-09,0.7419457060747632,1.165185500711169e-09,0.7430358168703781,1.155535384890135e-09,0.7448071547569837,1.287735659007291e-09,-1.644203765755948e-05,1.203516285889625e-09,-2.32590041016714e-05,1.165185500711169e-09,-2.831751440762902e-05,1.155535384890135e-09,-3.555094511774524e-05
1.35e-09,0.07004719045758563,1.268061261358941e-09,0.07838310565186568,1.213982684832073e-09,0.07447231819295504,1.197873298927884e-09,0.07859499082314696,1.35e-09,0.0193368438589735,1.268061261358941e-09,0.02155613006414686,1.213982684832073e-09,0.02048281588511731,1.197873298927884e-09,0.02157857554626791,1.35e-09,0.7396721206792144,1.268061261358941e-09,0.7436808564315096,1.213982684832073e-09,0.7459289246019293,1.197873298927884e-09,0.7483249267924312,1.35e-09,-2e-05,1.268061261358941e-09,-3.063557272673607e-05,1.213982684832073e-09,-3.668274597121255e-05,1.197873298927884e-09,-4.522818261208775e-05
1.351e-09,0.07022398714684254,1.30903063067947e-09,0.09314667485151025,1.255175961625648e-09,0.09515627306134093,1.249841581056658e-09,0.1122106010195084,1.351e-09,0.01938358157838381,1.30903063067947e-09,0.02554298334720098,1.255175961625648e-09,0.02605505323381155,1.249841581056658e-09,0.03063238746710641,1.351e-09,0.7396637574441058,1.30903063067947e-09,0.7438336357128623,1.255175961625648e-09,0.7473784206853771,1.249841581056658e-09,0.7509980987461127,1.351e-09,-2e-05,1.30903063067947e-09,-3.531778636336802e-05,1.255175961625648e-09,-4.374445056439678e-05,1.249841581056658e-09,-5.710664709866472e-05
1.353e-09,0.07055911149052424,1.35e-09,0.1064560244696347,1.288070119390921e-09,0.1131357381625656,1.292105182711094e-09,0.1416224835823116,1.353e-09,0.0194737872035533,1.35e-09,0.02915338478086424,1.288070119390921e-09,0.03091341076680969,1.292105182711094e-09,0.03858916367029548,1.353e-09,0.7396528916243353,1.35e-09,0.7433021896667147,1.288070119390921e-09,0.7476666725021318,1.292105182711094e-09,0.7514886161073997,1.353e-09,-1.996521739130434e-05,1.35e-09,-4e-05,1.288070119390921e-09,-4.938344903844368e-05,1.292105182711094e-09,-6.676689890539291e-05
1.357000000000001e-09,0.07120331085430227,1.351e-09,0.106762819317888,1.322977137803368e-09,0.1304546243158416,1.322580828452405e-09,0.1590050949063603,1.357000000000001e-09,0.01964852159261918,1.351e-09,0.02923547577591659,1.322977137803368e-09,0.03560984698672459,1.322580828452405e-09,0.04331929361968547,1.357000000000001e-09,0.7396256546041844,1.351e-09,0.7432776728812062,1.322977137803368e-09,0.7472449710634043,1.322580828452405e-09,0.7511453139700055,1.357000000000001e-09,-1.989565217391303e-05,1.351e-09,-4e-05,1.322977137803368e-09,-5.53675093377202e-05,1.322580828452405e-09,-7.373276078912124e-05
1.363750058871901e-09,0.07222286704216915,1.353e-09,0.1073487594975453,1.35e-09,0.1409584945108719,1.336290414226203e-09,0.1650832253177163,1.363750058871901e-09,0.01992610093704496,1.353e-09,0.02939407884070308,1.35e-09,0.03846969986304691,1.336290414226203e-09,0.0449760834378591,1.363750058871901e-09,0.7395552726575673,1.353e-09,0.7432347163604011,1.35e-09,0.7466253972972219,1.336290414226203e-09,0.750915701821899,1.363750058871901e-09,-1.977825984570607e-05,1.353e-09,-3.993043478260868e-05,1.35e-09,-6e-05,1.336290414226203e-09,-7.686638039456064e-05
