/I7/MINUS (iin=2e-05) X,/I7/MINUS (iin=2e-05) Y,/I7/MINUS (iin=4e-05) X,/I7/MINUS (iin=4e-05) Y,/I7/MINUS (iin=6e-05) X,/I7/MINUS (iin=6e-05) Y,/I7/MINUS (iin=8e-05) X,/I7/MINUS (iin=8e-05) Y,/vin (iin=2e-05) X,/vin (iin=2e-05) Y,/vin (iin=4e-05) X,/vin (iin=4e-05) Y,/vin (iin=6e-05) X,/vin (iin=6e-05) Y,/vin (iin=8e-05) X,/vin (iin=8e-05) Y,/v_preamp (iin=2e-05) X,/v_preamp (iin=2e-05) Y,/v_preamp (iin=4e-05) X,/v_preamp (iin=4e-05) Y,/v_preamp (iin=6e-05) X,/v_preamp (iin=6e-05) Y,/v_preamp (iin=8e-05) X,/v_preamp (iin=8e-05) Y,/CFD_shaped (iin=2e-05) X,/CFD_shaped (iin=2e-05) Y,/CFD_shaped (iin=4e-05) X,/CFD_shaped (iin=4e-05) Y,/CFD_shaped (iin=6e-05) X,/CFD_shaped (iin=6e-05) Y,/CFD_shaped (iin=8e-05) X,/CFD_shaped (iin=8e-05) Y
0,0,0,0,0,0,0,0,0,0.739518411762333,0,0.739518411762333,0,0.739518411762333,0,0.739518411762333,0,0.03933978398590698,0,0.03933978398590698,0,0.03933978398590698,0,0.03933978398590698,0,0.01187432015030598,0,0.01187432015030598,0,0.01187432015030598,0,0.01187432015030598
5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0,5.000000000000001e-12,0.7395184117622829,5.000000000000001e-12,0.7395184117622829,5.000000000000001e-12,0.7395184117622829,5.000000000000001e-12,0.7395184117622829,5.000000000000001e-12,0.03933978398536647,5.000000000000001e-12,0.03933978398536647,5.000000000000001e-12,0.03933978398536647,5.000000000000001e-12,0.03933978398536647,5.000000000000001e-12,0.01187432015014707,5.000000000000001e-12,0.01187432015014707,5.000000000000001e-12,0.01187432015014707,5.000000000000001e-12,0.01187432015014707
1.5e-11,0,1.5e-11,0,1.5e-11,0,1.5e-11,0,1.5e-11,0.7395184117622439,1.5e-11,0.7395184117622439,1.5e-11,0.7395184117622439,1.5e-11,0.7395184117622439,1.5e-11,0.03933978398433041,1.5e-11,0.03933978398433041,1.5e-11,0.03933978398433041,1.5e-11,0.03933978398433041,1.5e-11,0.01187432014985819,1.5e-11,0.01187432014985819,1.5e-11,0.01187432014985819,1.5e-11,0.01187432014985819
3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0,3.5e-11,0.7395184117621869,3.5e-11,0.7395184117621869,3.5e-11,0.7395184117621869,3.5e-11,0.7395184117621869,3.5e-11,0.03933978398554087,3.5e-11,0.03933978398554087,3.5e-11,0.03933978398554087,3.5e-11,0.03933978398554087,3.5e-11,0.01187432015018091,3.5e-11,0.01187432015018091,3.5e-11,0.01187432015018091,3.5e-11,0.01187432015018091
7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0,7.499999999999999e-11,0.7395184117621478,7.499999999999999e-11,0.7395184117621478,7.499999999999999e-11,0.7395184117621478,7.499999999999999e-11,0.7395184117621478,7.499999999999999e-11,0.03933978398463713,7.499999999999999e-11,0.03933978398463713,7.499999999999999e-11,0.03933978398463713,7.499999999999999e-11,0.03933978398463713,7.499999999999999e-11,0.01187432014994578,7.499999999999999e-11,0.01187432014994578,7.499999999999999e-11,0.01187432014994578,7.499999999999999e-11,0.01187432014994578
1.55e-10,0,1.55e-10,0,1.55e-10,0,1.55e-10,0,1.55e-10,0.739518411762882,1.55e-10,0.739518411762882,1.55e-10,0.739518411762882,1.55e-10,0.739518411762882,1.55e-10,0.03933978397806179,1.55e-10,0.03933978397806179,1.55e-10,0.03933978397806179,1.55e-10,0.03933978397806179,1.55e-10,0.01187432014805233,1.55e-10,0.01187432014805233,1.55e-10,0.01187432014805233,1.55e-10,0.01187432014805233
2.55e-10,0,2.55e-10,0,2.55e-10,0,2.55e-10,0,2.55e-10,0.7395184117649637,2.55e-10,0.7395184117649637,2.55e-10,0.7395184117649637,2.55e-10,0.7395184117649637,2.55e-10,0.03933978397835181,2.55e-10,0.03933978397835181,2.55e-10,0.03933978397835181,2.55e-10,0.03933978397835181,2.55e-10,0.01187432014810038,2.55e-10,0.01187432014810038,2.55e-10,0.01187432014810038,2.55e-10,0.01187432014810038
3.55e-10,0,3.55e-10,0,3.55e-10,0,3.55e-10,0,3.55e-10,0.7395184117645637,3.55e-10,0.7395184117645637,3.55e-10,0.7395184117645637,3.55e-10,0.7395184117645637,3.55e-10,0.03933978397325383,3.55e-10,0.03933978397325383,3.55e-10,0.03933978397325383,3.55e-10,0.03933978397325383,3.55e-10,0.0118743201466508,3.55e-10,0.0118743201466508,3.55e-10,0.0118743201466508,3.55e-10,0.0118743201466508
4.275e-10,0,4.275e-10,0,4.275e-10,0,4.275e-10,0,4.275e-10,0.7395184117627885,4.275e-10,0.7395184117627885,4.275e-10,0.7395184117627885,4.275e-10,0.7395184117627885,4.275e-10,0.03933978398273544,4.275e-10,0.03933978398273544,4.275e-10,0.03933978398273544,4.275e-10,0.03933978398273544,4.275e-10,0.01187432014932694,4.275e-10,0.01187432014932694,4.275e-10,0.01187432014932694,4.275e-10,0.01187432014932694
5e-10,0,5e-10,0,5e-10,0,5e-10,0,5e-10,0.7395184117612912,5e-10,0.7395184117612912,5e-10,0.7395184117612912,5e-10,0.7395184117612912,5e-10,0.03933978397618692,5e-10,0.03933978397618692,5e-10,0.03933978397618692,5e-10,0.03933978397618692,5e-10,0.01187432014755789,5e-10,0.01187432014755789,5e-10,0.01187432014755789,5e-10,0.01187432014755789
